id,type,lat,lon,name,access,capacity,fee,city,state
224197567,way,33.5644024,-112.1877938,Parking 224197567,customers,unknown,unknown,Phoenix,Arizona
224197583,way,33.5650262,-112.1865771,Parking 224197583,customers,unknown,unknown,Phoenix,Arizona
224197585,way,33.5649012,-112.1865727,Parking 224197585,customers,unknown,unknown,Phoenix,Arizona
224197852,way,33.564421,-112.1867661,Parking 224197852,customers,unknown,unknown,Phoenix,Arizona
224198065,way,33.5644118,-112.1871235,Parking 224198065,customers,unknown,unknown,Phoenix,Arizona
224202340,way,33.5664218,-112.1867967,Parking 224202340,customers,unknown,unknown,Phoenix,Arizona
224203087,way,33.5650646,-112.1899137,Parking 224203087,customers,unknown,unknown,Phoenix,Arizona
224204261,way,33.5619715,-112.1871902,Parking 224204261,customers,unknown,unknown,Phoenix,Arizona
224204263,way,33.5621292,-112.1878837,Parking 224204263,customers,unknown,unknown,Phoenix,Arizona
224204303,way,33.5621137,-112.1872423,Parking 224204303,customers,unknown,unknown,Phoenix,Arizona
224204304,way,33.5621058,-112.1876187,Parking 224204304,customers,unknown,unknown,Phoenix,Arizona
224204307,way,33.562266,-112.1867113,Parking 224204307,customers,unknown,unknown,Phoenix,Arizona
224204317,way,33.5621224,-112.1868314,Parking 224204317,customers,unknown,unknown,Phoenix,Arizona
224204367,way,33.5621236,-112.1881711,Parking 224204367,customers,unknown,unknown,Phoenix,Arizona
224204368,way,33.5622339,-112.1881023,Parking 224204368,customers,unknown,unknown,Phoenix,Arizona
224204391,way,33.5619599,-112.1877437,Parking 224204391,customers,unknown,unknown,Phoenix,Arizona
224204392,way,33.5619557,-112.1879721,Parking 224204392,customers,unknown,unknown,Phoenix,Arizona
224240594,way,33.3377319,-111.9660548,Parking 224240594,unknown,unknown,unknown,Phoenix,Arizona
224300198,way,33.5621851,-112.1865139,Parking 224300198,customers,unknown,unknown,Phoenix,Arizona
224310634,way,33.5660756,-112.1910778,Parking 224310634,customers,unknown,unknown,Phoenix,Arizona
224310635,way,33.5660716,-112.1912731,Parking 224310635,customers,unknown,unknown,Phoenix,Arizona
224310640,way,33.5660796,-112.1908782,Parking 224310640,customers,unknown,unknown,Phoenix,Arizona
224310648,way,33.5659613,-112.1908893,Parking 224310648,customers,unknown,unknown,Phoenix,Arizona
224310649,way,33.5659544,-112.1912712,Parking 224310649,customers,unknown,unknown,Phoenix,Arizona
224310650,way,33.5659579,-112.1910731,Parking 224310650,customers,unknown,unknown,Phoenix,Arizona
224310653,way,33.5659482,-112.1914939,Parking 224310653,customers,unknown,unknown,Phoenix,Arizona
224312675,way,33.5589025,-112.1871762,Parking 224312675,customers,unknown,unknown,Phoenix,Arizona
